clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean
master_of_puppets_guitar.mp3_5,1200.6160059395988,1494.1462591775894,0.00013980856,20.365985726695527,0.10271872,0.2551683,0.0016496868,0.123172484,656.6315789473684,7.623477741973983,0.003764172335600907,1494.1462591775894,2356.285751862423,24.950258,8073.899,1.0859108,24.223732,0.02578329080398607,0.033796407,159.69788,0.57443774,12.00308,2356.285751862423,0.21434066,12422.272473259323
master_of_puppets_guitar.mp3_6,1917.727877934953,1566.6356723791077,6.2923624e-05,23.411403317881103,0.07004745,0.10978648,0.00016055562,0.078075536,620.3239436619718,7.201946919612916,0.023242630385487528,1566.6356723791077,3449.579140866873,36.244087,3354.1948,0.8524654,7.75417,0.07498934246807276,0.07955625,210.1655,0.3722041,1.752746,3449.579140866873,0.06631506,17745.111545670206
meant_to_live_guitar.mp3_1,1685.6441882246645,1566.503771139635,0.000102703074,19.612342647442702,0.109663405,0.19381182,0.00034902795,0.12139983,506.7674418604651,5.883558508674787,0.02566893424036281,1566.503771139635,3358.4130254692336,51.517723,8191.42,0.7912343,2.9392476,0.05050725316853715,0.67776513,227.62282,0.44967088,1.4830203,3358.4130254692336,0.12547219,11626.484868916392
meant_to_live_guitar.mp3_2,2013.0107183987793,1726.2971872303408,0.00022172526,19.767271261577836,0.1174555,0.19795033,0.00084449875,0.1397878,597.0454545454545,6.931684188827046,0.019229024943310656,1726.2971872303408,3875.459898957527,63.640446,9690.909,0.8585145,5.4658427,0.06630647736068111,0.7342881,219.8077,0.4483385,1.8394377,3875.459898957527,0.12052515,10957.340839935727
meant_to_live_guitar.mp3_3,2061.6982211614445,1821.9878135361269,8.437889e-05,19.98819710250629,0.13860261,0.20492283,0.0007052269,0.1595769,759.0851063829788,8.812960872292178,0.0031519274376417233,1821.9878135361269,3919.6096319901317,73.76914,13179.596,0.91549426,4.588933,0.0657902295375387,0.08934154,217.5484,0.45769808,2.396465,3919.6096319901317,0.1303753,8859.860784510827
meant_to_live_guitar.mp3_4,1991.6172078738664,1689.5897186456664,1.4733907e-05,19.571286408414018,0.12930468,0.18903837,0.00033800732,0.14079404,652.8645161290323,7.579742228074025,6.802721088435374e-05,1689.5897186456664,3748.5439997339395,70.67698,11293.664,0.8823612,1.9557674,0.06851697041892414,0.58584213,226.57774,0.4661091,1.3042241,3748.5439997339395,0.12034352,9976.436110391816
meant_to_live_guitar.mp3_5,1787.2912753808846,1683.3837153721438,0.0002169648,19.12022557879777,0.10829368,0.18314765,0.00033974866,0.12087768,653.7857142857143,7.590437317784256,0.022675736961451247,1683.3837153721438,3529.3786583301085,51.27997,7990.396,0.90361947,3.4797058,0.05350005442143963,0.010755231,229.36235,0.4341796,2.415519,3529.3786583301085,0.10943033,11912.051408836904
meant_to_live_guitar.mp3_6,1874.2660864195152,1683.9442440516805,0.00016499253,19.04433833922346,0.116840184,0.18813895,0.0003695296,0.1299382,552.1020408163265,6.409892174556896,0.02582766439909297,1683.9442440516805,3640.8113178453946,57.321022,9283.41,0.9027164,2.752934,0.05826193038893189,0.14903642,230.27145,0.45242912,2.0845737,3640.8113178453946,0.111696824,11040.72140683362
nothing_else_matters_guitar.mp3_1,1914.02021438139,1573.0127697202104,2.2215036e-05,21.226324020909797,0.084660545,0.15429634,0.0006087168,0.1040626,666.5213675213676,7.738297963059867,0.01056689342403628,1573.0127697202104,3585.41165283959,44.088646,5146.4497,0.86768645,2.431199,0.06805212062209752,0.01801174,220.38426,0.41445032,1.614167,3585.41165283959,0.118239336,15071.954566715835
nothing_else_matters_guitar.mp3_2,1103.4161269899826,1231.2388447492972,3.510768e-05,21.56943995684733,0.039952684,0.083656386,0.00014125212,0.046226654,676.55,7.854730158730158,0.02639455782312925,1231.2388447492972,2107.637255405863,16.100273,1150.0104,0.8089207,3.3101692,0.03241325827205882,0.07485905,236.86494,0.38073575,2.042186,2107.637255405863,0.0632631,32087.947712574314
