clip_name,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,spectral_contrast_mean,rms_energy_mean,rms_energy_max,rms_energy_variance,rms_energy_percentile,onset_frames_mean,onset_times_mean,attack_time_mean,modulation_depth_mean,spectral_rolloff_mean,harmonic_mean,delay_presence,spectral_flux_mean,harmonic_distortion_ratio_mean,zero_crossing_rate_mean,stereo_width,mfcc2_mean,chroma_mean,vibrato_depth,reverb_tail_length_mean,dynamic_range,peak_to_rms_ratio_mean,Cluster
carnival_of_rust_guitar.mp3_1,1816.3473508635648,1532.3051726116037,1.3731247e-05,19.805722457737332,0.071423925,0.121646985,0.00032978793,0.082092226,629.8642857142858,7.312710074505992,0.0277777777777777,1532.3051726116037,3350.2464081849844,36.873066,3594.571,0.818635,2.1220968,0.0603488414280185,0.10125334,225.532,0.49140462,1.4770052,3350.2464081849844,0.08980383,18005.16924237547,27
carnival_of_rust_guitar.mp3_2,2389.689455787761,1759.6894226220247,4.371322e-05,20.746002844163943,0.064876854,0.12111927,0.0004989284,0.07981766,645.3088235294117,7.492020808323329,0.0011791383219954,1759.6894226220247,4158.4581877055925,34.48067,3115.304,0.96666217,4.974288,0.0923603636561532,0.24730913,195.15067,0.41205293,4.2515993,4158.4581877055925,0.11981523,19513.890831081957,9
carnival_of_rust_guitar.mp3_3,1679.6611031908146,1447.6076335376324,6.069525e-06,19.75611113932278,0.07458136,0.117845215,0.0003126665,0.08599417,651.2894736842105,7.561456021004894,0.0074603174603174,1447.6076335376324,3201.2973088598105,37.764133,3889.1035,0.8010882,2.065363,0.0545563594475619,0.19008699,241.71913,0.47161186,1.3304083,3201.2973088598105,0.09590465,17269.72840784876,9
carnival_of_rust_guitar.mp3_4,1676.0248042759424,1445.3224107823637,1.2372367e-05,22.6447763682718,0.08282666,0.13696975,0.00041010653,0.09788129,687.8571428571429,7.98600583090379,0.0281405895691609,1445.3224107823637,2859.332710006289,37.963436,4813.7715,0.92145336,9.384829,0.0617233607053018,0.061557826,207.88611,0.34604988,4.149008,2859.332710006289,0.12183154,15502.253727351748,17
carnival_of_rust_guitar.mp3_5,1033.381303995828,1397.3594984297995,4.042312e-06,24.348243367615996,0.07938165,0.13325587,0.00030877435,0.090210855,622.9545454545455,7.232488146773861,0.0246485260770975,1397.3594984297995,1857.255436097136,28.253061,4377.349,0.8666214,15.955048,0.026925385182856,0.011193028,206.68059,0.32582852,6.0419207,1857.255436097136,0.113013,16250.605064974876,17
carnival_of_rust_guitar.mp3_6,973.7163848876368,1322.8138839319224,2.8813256e-06,24.79170714536185,0.06893655,0.13160126,0.000437434,0.08411606,622.2380952380952,7.224170176006911,0.0053968253968253,1322.8138839319224,1707.2730096870162,22.720953,3436.9988,0.8374747,23.46666,0.025778755684017,0.09558134,199.15506,0.30874002,5.7838297,1707.2730096870162,0.1154031,18698.351991913976,17
carry_on_my_wayward_son_guitar.mp3_1,2156.5224438215164,2132.6520343810475,5.2568008e-05,22.560346030850155,0.02069027,0.12307608,0.00028228541,0.026676282,574.8181818181819,6.6736260564832,0.007437641723356,2132.6520343810475,4272.774163119195,8.182618,469.91724,0.87946784,15.70002,0.0695347269253096,0.008724697,147.84967,0.42135167,5.812691,4272.774163119195,0.12224214,53745.04595233943,24
carry_on_my_wayward_son_guitar.mp3_2,1867.318373737632,1345.2066711361956,9.06301e-06,21.131284454664343,0.09027375,0.14500381,0.0010413943,0.11222197,548.8932038834952,6.372637650529468,0.0102947845804988,1345.2066711361956,3305.363346253386,45.56924,6080.9937,0.85781264,3.9747741,0.07169042061726,0.63714606,226.28174,0.32397053,1.9289973,3305.363346253386,0.14175205,11620.209427286576,8
carry_on_my_wayward_son_guitar.mp3_3,1949.0910010108555,1456.7922877307535,0.00012709935,20.9021507251795,0.047597986,0.11295106,0.0005008487,0.06314901,690.2068965517242,8.013286418015484,0.0285487528344671,1456.7922877307535,3466.7957034273413,20.376371,1830.3395,1.0623012,8.289483,0.0706409182710913,0.04325535,207.89633,0.3881971,13.737763,3466.7957034273413,0.11286343,26912.897257961384,4
carry_on_my_wayward_son_guitar.mp3_4,1912.8389698444448,1831.8626374498383,0.003796739,20.669525092562694,0.012337861,0.059315667,0.00014714758,0.017714893,627.9846153846154,7.29088714460143,0.0262811791383219,1831.8626374498383,3474.545656564435,6.0218544,198.33183,0.6714891,8.994267,0.0656889451915634,0.9431912,177.35434,0.3993664,3.1014292,3474.545656564435,0.059293967,93938.41204714362,21
